Category,Subcategory,Tags,Indicator,Indicator Name,Indicator Measurement,Will Mock Detailed Data,Data by,Available Dimensions,Forecast Type,Threshold,Threshold Category,Flagged for Review,Value Data Type,Current Value,Current Value Date,Previous Value,Previous Value Date,Current vs Previous Delta,Current vs Previous Delta (%),Update Cadence/Frequency,Frequency,Lag,Status,Reliability Flag,Source,,Can be shared publicly? ,Data Steward
Health care utilization,ED Visits,"Healthcare utilization, Health care, ED data, Poverty",ED Visits by Poverty (Neighborhood),"ED visits, by neighborhood poverty",Number,,Neighborhood poverty,"Levels - Low, Medium, High, Very High",,,,,Number,141876,8/1/26,134765,7/1/26,7111,5.276592587,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,,Ellen and Hilary
Health care utilization,ED Visits,"Healthcare utilization, Health care, ED data",ED Visits by % Neighborhood Residents Non-Citizens,"ED visits, by non-citizen resident percentage",Number,,Quartile,Quartiles 1 to 4,,,,,Number,77456,9/1/23,80976,8/1/23,-3520,-4.346967003,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,,Ellen and Hilary
Health care utilization,ED Admits,"Healthcare utilization, Health care, ED data",ED Admits Overall,ED admissions,Number,,,None,,,,,Number,52333,9/1/23,51876,8/1/23,457,0.880946873,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,,Ellen and Hilary
Health care utilization,ED Admits,"Healthcare utilization, Health care, ED data",ED Admits by Age,"ED admissions, by age",Number,,Age group,Age Groups,,,,,Number,8675,9/1/23,8907,8/1/23,-232,-2.604692938,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,,Ellen and Hilary
Health care utilization,ED Admits,"Healthcare utilization, Health care, ED data, Disability",ED Admits by Ambulatory Care Sensitive Conditions,"ED admissions, by ambulatory care sensitive conditions",Number,,,None,,,,,Number,9654,8/1/26,9234,7/1/26,420,4.548408057,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,,Ellen and Hilary
Health care utilization,ED Admits,"Healthcare utilization, Health care, ED data, Poverty",ED Admits by Poverty (Neighborhood),"ED admissions, by neighborhood poverty",Number,,Neighborhood poverty,"Levels - Low, Medium, High, Very High",,,,,Number,10876,8/1/26,13765,7/1/26,-2889,-20.98801308,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,,Ellen and Hilary
Health care utilization,ED Admits,"Healthcare utilization, Health care, ED data",ED Admits by % Neighborhood Residents Non-Citizens,"ED admissions, by non-citizen resident percentage",Number,,Quartile,Quartiles 1 to 4,,,,,Number,15456,9/1/23,14976,8/1/23,480,3.205128205,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,,Ellen and Hilary
Behavioral and Mental Health,Mortality,"Mental health, Mortality, Overdose",Overdose Deaths,Overdose deaths,Number of deaths,,"Race, Poverty l evel","Race, Poverty level",,,,,Number,456,7/1/25,463,Q2 2025,-7,-1.51187905,Quarterly/Annual,Quarterly,,,,BADUPCT,,,
,Birth Outcomes,"Birth outcomes, Births",Low Birthweight,Low birthweight,Percent of births,,"Nativity, Race","Nativity, Race",,,,,Percentage,9.1,10/1/25,8.7,Q3 2025,0.4,4.597701149,Quarterly,Quarterly,,,,BVS,,,
,Birth Outcomes,"Birth outcomes, Births",Preterm Birth,Preterm births,Percent of births,,"Nativity, Race","Nativity, Race",,,,,Percentage,9.7,10/1/25,9.4,Q3 2025,0.3,3.191489362,Quarterly,Quarterly,,,,BVS,,,
,Births,Births,Parents Born Outside US,Parents born outside US,Percent of births,,,NA,,,,,Percentage,49.21,7/16/05,48.8,2023,0.41,0.840163934,Annual,Annual,,,,BVS,,,
,Births,Births,Parents on Medicaid,Parents on Medicaid,Percent of births,,,NA,,,,,Percentage,56.37,7/16/05,57.3,2023,-0.93,-1.623036649,Annual,Annual,,,,BVS,,,
,Health care utilization,Healthcare utilization,Interactions with clients in EI and public health clinics,Interactions with clients in EI and public health clinics,,,,,,,,,,,,,,,,,,,,,,,,
Affordability/insecurity,Access to Care,"Health care, Public benefits",Medicaid Enrollment,Medicaid enrollment,Number,,,,,,,,Number,3604177,6/26/26,"3,607,467",26-May,-3290,31,Monthly,Monthly,,,,NYS Health,,Yes,NA - External source
Affordability/insecurity,Food Insecurity,"Food, Affordability, Insecurity, Public benefits",SNAP Recipients,SNAP recipients,Number,,,NA,,,,,Number,566510,6/26/26,576123,26-May,-9613,-1.668567302,Monthly,Monthly,,,,Human Resources Administration,,Yes,NA - External source
Affordability/insecurity,Food Insecurity,"Affordability, Insecurity, Public benefits",Cash Assistance Receipients,Cash assistance recipients,Number,,,NA,,,,,Number,1678196,6/26/26,1685281,26-May,-7085,-0.420404668,Monthly,Monthly,,,,Human Resources Administration,,Yes,NA - External source
Affordability/insecurity,Economic Insecurity,"Affordability, Insecurity, Homelessness, Housing",Number of Individuals Served by NYC Homeless Shelters,People served by NYC homeless shelters,Number,,Family status,"Single Adults, Families with Children, Adult Families",,,,,Number,95490,3/26/26,95553,26-Feb,-63,-0.065931996,Monthly,Monthly,,,,Dept. of Homelessness Services,,Yes,NA - External source
,Trust in institutions,Trust,Trust in NYC Government Action,People who trust NYC government action,Percent,,Race,Race,,,,,Percentage,45,3/26/26,39,25-Dec,6,15.38461538,HOP dependent,Varies,HOP dependent,,,NYC Health Opinion Poll,,,Yangchen
,Trust in institutions,Trust,Trust in Federal Government Action,People who trust Federal government action,Percent,,Race,Race,,,,,Percentage,22,3/26/26,18,25-Dec,4,22.22222222,HOP dependent,Varies,HOP dependent,,,NYC Health Opinion Poll,,,Yangchen
,Trust in institutions,Trust,Trust in Health Info from NYC Government,People who trust NYC government health info,Percent,,Race,Race,,,,,Percentage,61,3/26/26,53,25-Dec,8,15.09433962,HOP dependent,Varies,HOP dependent,,,NYC Health Opinion Poll,,,Yangchen
,Trust in institutions,Trust,Trust in Health Info from Federal Government,People who trust Federal government health info,Percent,,Race,Race,,,,,Percentage,33,3/26/26,28,25-Dec,5,17.85714286,HOP dependent,Varies,HOP dependent,,,NYC Health Opinion Poll,,,Yangchen
