Category,Subcategory,Indicator,Will Mock Detailed Data,Available Dimensions,Forecast Type,Threshold,Threshold Category,Flagged for Review,Value Data Type,Current Value,Current Value Date,Previous Value,Previous Value Date,Current vs Previous Delta,Current vs Previous Delta (%),Update Cadence/Frequency,Frequency,Lag,Status,Reliability Flag,Source,Can be shared publicly? ,Data Steward
,Environmental exposure,Weather alerts from the National Weather Service,,,,-,,,String,No Alerts,8/19/26,No Alerts,8/18/26,NA,NA,Daily,Daily,1 day,,NA,National Weather Service API,Yes,
,Mortality,All cause mortality trends and historical,,,,110?,,,Number,90,8/19/26,77,8/18/26,13,16.88311688,Daily,Daily,2-3 days,,NA,MortalSS,,Alejandro Castro
,Mortality,New rare and reportable deaths,,Death type,,10?,,,Number,5,8/19/26,4,8/18/26,1,25,Daily,Daily,2-3 days,,NA,MortalSS,,Alejandro Castro
,Mental health,Lack Needed Mental Health Treatment,,,,,,,Percentage,12,3/1/26,9,12/1/25,3,33.33333333,HOP dependent,Varies,HOP dependent,,NA,NYC Health Opinion Poll,,Yangchen
,Mental health,Adult anxiety and depression,,,,,,,Percentage,20,4/1/23,14,2/1/24,6,42.85714286,HOP dependent,Varies,HOP dependent,,NA,NYC Health Opinion Poll,,Yangchen
Affordability/insecurity,Reported financial insecurity,Financial Stress,,Stress level,,,,,Percentage,55,3/1/25,50,7/1/26,5,10,HOP dependent,Varies,HOP dependent,,NA,NYC Health Opinion Poll,,Yangchen
Affordability/insecurity,Reported food insecurity,Emergency food sources,,"Often or sometimes, rarely or never",,,,,Percentage,70.3,3/1/26,71.5,12/1/25,-1.2,-1.678321678,HOP dependent,Varies,HOP dependent,,NA,NYC Health Opinion Poll,,Yangchen
Affordability/insecurity,Reported food insecurity,Enough to eat,,"Enough, not always, often not, sometimes not",,,,,Percentage,36.3,3/1/26,25.3,12/1/25,11,43.47826087,HOP dependent,Varies,HOP dependent,,NA,NYC Health Opinion Poll,,Yangchen
Affordability/insecurity,Reported food insecurity,Run out of food,,None,,,,,Percentage,22,3/1/26,18,12/1/25,4,22.22222222,HOP dependent,Varies,HOP dependent,,NA,NYC Health Opinion Poll,,Yangchen
Health care utilization,ED Visits,ED Visits Overall,,None,,,,,Number,344000,8/1/26,340000,7/1/26,4000,1.176470588,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,Ellen and Hilary
Health care utilization,ED Visits,ED Visits by Age,,Age Groups,,,,,Number,54345,8/1/26,52467,7/1/26,1878,3.579392761,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,Ellen and Hilary
Health care utilization,ED Visits,ED Visits by Ambulatory Care Sensitive Conditions,,None,,,,,Number,57654,8/1/26,55234,7/1/26,2420,4.381359308,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,Ellen and Hilary
Health care utilization,ED Visits,ED Visits by Poverty (Neighborhood),,"Levels - Low, Medium, High, Very High",,,,,Number,141876,8/1/26,134765,7/1/26,7111,5.276592587,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,Ellen and Hilary
Health care utilization,ED Visits,ED Visits by % Neighborhood Residents Non-Citizens,,Quartiles 1 to 4,,,,,Number,77456,9/1/23,80976,8/1/23,-3520,-4.346967003,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,Ellen and Hilary
Health care utilization,ED Admits,ED Admits Overall,,None,,,,,Number,52333,9/1/23,51876,8/1/23,457,0.880946873,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,Ellen and Hilary
Health care utilization,ED Admits,ED Admits by Age,,Age Groups,,,,,Number,8675,9/1/23,8907,8/1/23,-232,-2.604692938,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,Ellen and Hilary
Health care utilization,ED Admits,ED Admits by Ambulatory Care Sensitive Conditions,,None,,,,,Number,9654,8/1/26,9234,7/1/26,420,4.548408057,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,Ellen and Hilary
Health care utilization,ED Admits,ED Admits by Poverty (Neighborhood),,"Levels - Low, Medium, High, Very High",,,,,Number,10876,8/1/26,13765,7/1/26,-2889,-20.98801308,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,Ellen and Hilary
Health care utilization,ED Admits,ED Admits by % Neighborhood Residents Non-Citizens,,Quartiles 1 to 4,,,,,Number,15456,9/1/23,14976,8/1/23,480,3.205128205,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,Ellen and Hilary
Behavioral and Mental Health,Mortality,Overdose Deaths,,"Race, Poverty level",,,,,Number,456,Q3 2025,463,Q2 2025,-7,-1.51187905,Quarterly/Annual,Quarterly,,,,BADUPCT,,
,Birth Outcomes,Low Birthweight,,"Nativity, Race",,,,,Percentage,9.1,Q4 2025,8.7,Q3 2025,0.4,4.597701149,Quarterly,Quarterly,,,,BVS,,
,Birth Outcomes,Preterm Birth,,"Nativity, Race",,,,,Percentage,9.7,Q4 2025,9.4,Q3 2025,0.3,3.191489362,Quarterly,Quarterly,,,,BVS,,
,Births,Parents Born Outside US,,NA,,,,,Percentage,49.21,2024,48.8,2023,0.41,0.840163934,Annual,Annual,,,,BVS,,
,Births,Parents on Medicaid,,NA,,,,,Percentage,56.37,2024,57.3,2023,-0.93,-1.623036649,Annual,,,,,BVS,,
,Health care utilization,Interactions with clients in EI and public health clinics,,,,,,,,,,,,,,,,,,,,,
Affordability/insecurity,Access to Care,Medicaid Enrollment,,,,,,,Number,3604177,26-Jun,"3,607,467",26-May,-3290,31,Monthly,Monthly,,,,NYS Health (https://www.health.ny.gov/health_care/medicaid/enrollment/historical/72_months.htm),Yes,NA - External source
Affordability/insecurity,Food Insecurity,SNAP Recipients,,NA,,,,,Number,566510,26-Jun,576123,26-May,-9613,-1.668567302,Monthly,Monthly,,,,Human Resources Administration (https://www.nyc.gov/site/hra/about/facts.page),Yes,NA - External source
Affordability/insecurity,Food Insecurity,Cash Assistance Receipients,,NA,,,,,Number,1678196,26-Jun,1685281,26-May,-7085,-0.420404668,Monthly,Monthly,,,,Human Resources Administration (https://www.nyc.gov/site/hra/about/facts.page),Yes,NA - External source
Affordability/insecurity,Economic Insecurity,Number of Individuals Served by NYC Homeless Shelters,,"Single Adults, Families with Children, Adult Families",,,,,Number,95490,26-Mar,95553,26-Feb,-63,-0.065931996,Monthly,Monthly,,,,Dept. of Homelessness Services (https://www.nyc.gov/site/dhs/about/stats-and-reports.page),Yes,NA - External source
,Trust in institutions,Trust in NYC Government Action,,Race,,,,,Percentage,45,26-Mar,39,25-Dec,6,15.38461538,HOP dependent,Varies,HOP dependent,,,NYC Health Opinion Poll,,Yangchen
,Trust in institutions,Trust in Federal Government Action,,Race,,,,,Percentage,22,26-Mar,18,25-Dec,4,22.22222222,HOP dependent,Varies,HOP dependent,,,NYC Health Opinion Poll,,Yangchen
,Trust in institutions,Trust in Health Info from NYC Government,,Race,,,,,Percentage,61,26-Mar,53,25-Dec,8,15.09433962,HOP dependent,Varies,HOP dependent,,,NYC Health Opinion Poll,,Yangchen
,Trust in institutions,Trust in Health Info from Federal Government,,Race,,,,,Percentage,33,26-Mar,28,25-Dec,5,17.85714286,HOP dependent,Varies,HOP dependent,,,NYC Health Opinion Poll,,Yangchen
